1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
115	-0.241433	3.391501	64.436213	0.003490	2.8
116	-0.214765	3.766340	63.460969	0.002078	2.9
117	-0.270249	2.863402	65.862190	0.003356	2.7
118	-0.239299	1.962344	68.446668	0.001406	2.9
119	-0.205034	1.096891	71.127470	0.002866	3.3
120	-0.222745	1.556346	69.678660	0.005900	3.0
121	-0.220916	2.556346	66.720703	0.003248	3.2
122	-0.219313	3.552750	64.013032	0.004677	2.8
123	-0.256223	4.274207	62.185768	0.006809	2.9
124	-0.290900	3.369895	64.493343	0.002978	3.0
125	-0.252988	2.466028	66.977503	0.002860	2.9
126	-0.242551	1.728491	69.150916	0.002058	3.4
127	-0.210429	0.875035	71.848842	0.004097	2.8
128	-0.223121	1.874672	68.709004	0.001502	2.9
129	-0.220758	1.159069	70.927888	0.002293	2.7
130	-0.280845	0.402424	73.435418	0.004643	2.7
131	-0.255366	0.000000	74.842665	0.003590	2.7
132	-0.227501	0.000000	74.842665	0.003308	3.1
133	-0.228361	0.000000	74.842665	0.002221	2.9
